date,open,highest,lowest,close,volume
2024-01-05 16:32:00+00:00,182.1499,182.18,182.12,182.17,52696
2024-01-05 16:33:00+00:00,182.17,182.18,182.135,182.1599,40235
2024-01-05 16:34:00+00:00,182.1584,182.17,182.08,182.16,42158
2024-01-05 16:35:00+00:00,182.1557,182.195,182.135,182.19,56949
2024-01-05 16:36:00+00:00,182.19,182.2,182.1688,182.1739,40419
2024-01-05 16:37:00+00:00,182.175,182.18,182.14,182.16,50209
2024-01-05 16:38:00+00:00,182.1601,182.1784,182.11,182.12,53620
2024-01-05 16:39:00+00:00,182.12,182.22,182.12,182.2,55738
2024-01-05 16:40:00+00:00,182.1999,182.2,182.15,182.15,40055
2024-01-05 16:41:00+00:00,182.15,182.16,182.07,182.16,63387
2024-01-05 16:42:00+00:00,182.16,182.19,182.12,182.17,47916
2024-01-05 16:43:00+00:00,182.17,182.1788,182.0401,182.09,60071
2024-01-05 16:44:00+00:00,182.095,182.0977,182.05,182.0567,32674
2024-01-05 16:45:00+00:00,182.06,182.1,182.0201,182.08,48215
2024-01-05 16:46:00+00:00,182.0799,182.12,182.075,182.0816,47997
2024-01-05 16:47:00+00:00,182.075,182.13,182.02,182.02,96718
2024-01-05 16:48:00+00:00,182.03,182.04,181.94,181.9599,152128
2024-01-05 16:49:00+00:00,181.9587,182.01,181.9101,182.005,52803
2024-01-05 16:50:00+00:00,182.01,182.18,182.005,182.16,85773
2024-01-05 16:51:00+00:00,182.16,182.16,182.055,182.14,65427
2024-01-05 16:52:00+00:00,182.13,182.15,182.095,182.15,48611
2024-01-05 16:53:00+00:00,182.16,182.17,182.11,182.15,32670
2024-01-05 16:54:00+00:00,182.15,182.21,182.1401,182.175,64996
2024-01-05 16:55:00+00:00,182.172,182.225,182.1201,182.22,52220
2024-01-05 16:56:00+00:00,182.21,182.21,182.1013,182.1013,71607
2024-01-05 16:57:00+00:00,182.1053,182.12,182.03,182.0726,67541
2024-01-05 16:58:00+00:00,182.07,182.1,182.04,182.0673,37401
2024-01-05 16:59:00+00:00,182.06,182.11,182.05,182.1022,33818
2024-01-05 17:00:00+00:00,182.11,182.135,182.065,182.1,116429
2024-01-05 17:01:00+00:00,182.11,182.15,182.09,182.13,62417
2024-01-05 17:02:00+00:00,182.125,182.15,182.105,182.1377,83198
2024-01-05 17:03:00+00:00,182.135,182.2,182.11,182.1962,61325
2024-01-05 17:04:00+00:00,182.185,182.22,182.1,182.1101,73903
2024-01-05 17:05:00+00:00,182.1,182.1,182.02,182.0301,58542
2024-01-05 17:06:00+00:00,182.03,182.03,181.9899,181.995,66450
2024-01-05 17:07:00+00:00,181.997,182.0042,181.86,181.92,85662
2024-01-05 17:08:00+00:00,181.9282,181.9383,181.66,181.718,166503
2024-01-05 17:09:00+00:00,181.71,181.72,181.615,181.64,108063
2024-01-05 17:10:00+00:00,181.64,181.66,181.57,181.61,135885
2024-01-05 17:11:00+00:00,181.6023,181.645,181.5525,181.625,89302
2024-01-05 17:12:00+00:00,181.62,181.71,181.58,181.629,104821
2024-01-05 17:13:00+00:00,181.625,181.71,181.586,181.7068,62002
2024-01-05 17:14:00+00:00,181.705,181.77,181.68,181.685,81647
2024-01-05 17:15:00+00:00,181.69,181.83,181.655,181.81,70510
2024-01-05 17:16:00+00:00,181.8066,181.89,181.8,181.8613,65500
2024-01-05 17:17:00+00:00,181.86,181.865,181.77,181.7802,159906
2024-01-05 17:18:00+00:00,181.785,181.8,181.71,181.765,49010
2024-01-05 17:19:00+00:00,181.76,181.79,181.73,181.74,39944
2024-01-05 17:20:00+00:00,181.74,181.8,181.62,181.71,122056
2024-01-05 17:21:00+00:00,181.72,181.7201,181.65,181.665,41057
2024-01-05 17:22:00+00:00,181.6601,181.6699,181.61,181.66,87073
2024-01-05 17:23:00+00:00,181.66,181.68,181.56,181.6,91615
2024-01-05 17:24:00+00:00,181.605,181.62,181.4603,181.475,142082
2024-01-05 17:25:00+00:00,181.48,181.58,181.48,181.54,89900
2024-01-05 17:26:00+00:00,181.54,181.54,181.38,181.42,109691
2024-01-05 17:27:00+00:00,181.425,181.53,181.425,181.505,108637
2024-01-05 17:28:00+00:00,181.505,181.525,181.385,181.42,73721
2024-01-05 17:29:00+00:00,181.42,181.4201,181.32,181.365,116064
2024-01-05 17:30:00+00:00,181.36,181.44,181.28,181.39,108854
2024-01-05 17:31:00+00:00,181.38,181.48,181.35,181.475,65885
2024-01-05 17:32:00+00:00,181.47,181.505,181.43,181.4601,61422
2024-01-05 17:33:00+00:00,181.475,181.4799,181.39,181.4273,67190
2024-01-05 17:34:00+00:00,181.43,181.46,181.3601,181.41,55281
2024-01-05 17:35:00+00:00,181.409,181.56,181.4,181.5525,74675
2024-01-05 17:36:00+00:00,181.5429,181.61,181.51,181.6,86623
2024-01-05 17:37:00+00:00,181.595,181.7,181.585,181.685,78700
2024-01-05 17:38:00+00:00,181.69,181.7,181.61,181.6188,84124
2024-01-05 17:39:00+00:00,181.605,181.6712,181.59,181.67,60307
2024-01-05 17:40:00+00:00,181.66,181.7188,181.645,181.7136,57186
2024-01-05 17:41:00+00:00,181.715,181.805,181.7102,181.7801,64239
2024-01-05 17:42:00+00:00,181.78,181.8,181.75,181.75,74510
2024-01-05 17:43:00+00:00,181.755,181.82,181.755,181.8001,65437
2024-01-05 17:44:00+00:00,181.805,181.81,181.75,181.7845,46234
2024-01-05 17:45:00+00:00,181.78,181.82,181.77,181.78,165900
2024-01-05 17:46:00+00:00,181.78,181.79,181.67,181.69,85100
2024-01-05 17:47:00+00:00,181.6898,181.6898,181.59,181.6301,95404
2024-01-05 17:48:00+00:00,181.64,181.66,181.575,181.64,68060
2024-01-05 17:49:00+00:00,181.6387,181.6599,181.58,181.59,63461
2024-01-05 17:50:00+00:00,181.595,181.775,181.58,181.75,79421
2024-01-05 17:51:00+00:00,181.762,181.86,181.762,181.8188,70050
2024-01-05 17:52:00+00:00,181.81,181.8277,181.7243,181.7302,45375
2024-01-05 17:53:00+00:00,181.735,181.8,181.71,181.79,57867
